"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","1,888,504","±5,749","255,173","±1,326","2,643,430","±6,290","1,170,544","±4,411","13,103,114","±18,542","2,137,402","±4,703","1,385,437","±3,268","370,953","±1,823","288,307","±1,319","7,931,313","±23,200","3,830,264","±8,096","467,932","±1,883","649,299","±2,233","4,884,061","±8,585","2,602,770","±6,793","1,273,941","±4,037","1,141,985","±4,096","1,748,053","±5,379","1,751,956","±5,502","569,551","±2,285","2,230,527","±4,131","2,646,980","±4,188","3,980,408","±8,401","2,207,988","±5,616","1,116,649","±4,463","2,440,212","±6,698","436,048","±1,975","766,663","±2,410","1,130,011","±2,777","539,116","±1,981","3,272,054","±6,029","792,755","±2,457","7,417,224","±12,559","4,031,592","±8,480","320,873","±1,737","4,717,226","±9,371","1,493,569","±3,009","1,642,579","±3,451","5,106,601","±8,064","414,730","±1,881","1,961,481","±5,748","347,878","±1,737","2,639,455","±6,788","9,906,070","±18,881","1,003,345","±2,384","262,852","±1,220","3,184,121","±7,450","2,905,822","±5,585","734,235","±2,810","2,377,935","±5,709","233,231","±1,535","1,205,749","±3,649"
"    Owner occupied:","1,306,505","±8,890","165,376","±1,894","1,727,176","±8,998","770,477","±6,160","7,241,318","±35,711","1,415,324","±7,389","915,408","±5,015","264,915","±2,572","122,648","±2,322","5,250,878","±29,168","2,453,159","±15,000","282,037","±2,959","459,428","±3,829","3,237,778","±15,169","1,808,293","±9,974","906,967","±5,085","756,309","±5,042","1,181,021","±8,065","1,167,628","±7,916","414,939","±2,907","1,495,828","±7,636","1,654,892","±8,181","2,855,485","±11,537","1,588,611","±7,339","767,972","±5,809","1,637,374","±9,327","298,728","±2,421","507,291","±3,354","644,864","±4,854","383,839","±2,913","2,094,427","±10,839","539,082","±4,440","4,014,516","±17,841","2,649,849","±13,076","200,671","±1,910","3,128,172","±14,566","986,555","±4,254","1,031,006","±6,702","3,522,269","±14,124","255,450","±2,679","1,375,391","±8,428","236,495","±2,333","1,756,534","±10,835","6,168,808","±30,914","707,663","±4,231","187,374","±1,784","2,123,771","±12,827","1,838,059","±9,076","540,786","±3,540","1,596,500","±8,011","165,530","±1,787","817,399","±4,067"
"        No vehicle available","36,665","±1,334","9,733","±429","42,032","±1,535","18,387","±1,000","192,132","±4,331","24,606","±1,224","22,408","±1,438","6,335","±690","18,813","±1,276","158,293","±3,286","55,701","±1,916","11,085","±797","8,215","±640","120,329","±2,588","48,152","±1,371","18,718","±758","13,315","±889","37,715","±1,364","41,768","±2,596","10,007","±724","44,995","±1,881","57,789","±1,866","91,112","±2,257","30,200","±1,145","24,411","±1,214","42,125","±1,365","5,484","±533","8,882","±527","14,878","±1,019","7,209","±710","75,327","±1,975","15,705","±903","390,827","±4,953","62,567","±2,277","2,833","±363","94,060","±2,100","19,936","±867","24,017","±1,207","162,455","±3,224","6,515","±676","39,631","±1,735","3,502","±410","40,226","±1,258","128,522","±3,108","12,529","±880","4,322","±400","52,312","±1,940","38,912","±1,476","23,531","±1,097","35,568","±1,723","2,842","±402","90,145","±1,921"
"        1 vehicle available","315,583","±3,736","39,355","±1,294","504,124","±4,844","189,978","±3,354","1,583,208","±10,911","311,184","±4,232","224,262","±3,454","74,286","±2,255","64,546","±2,313","1,807,058","±12,186","578,532","±6,106","74,739","±2,146","91,088","±2,133","919,402","±6,935","428,800","±5,075","199,625","±2,879","156,954","±2,680","289,344","±3,645","347,856","±5,109","112,643","±2,092","379,238","±3,946","460,580","±3,914","788,032","±5,047","362,356","±4,012","194,763","±3,258","397,031","±5,020","60,108","±1,954","103,680","±1,697","175,036","±2,663","86,466","±1,715","556,818","±5,577","142,236","±3,179","1,255,249","±8,904","612,746","±5,142","36,271","±1,361","793,678","±6,940","240,019","±3,566","241,514","±3,772","972,117","±6,683","68,270","±1,939","352,852","±4,424","45,396","±1,355","404,096","±4,665","1,391,117","±10,735","123,675","±2,416","53,720","±1,642","476,657","±6,265","394,399","±4,422","154,453","±3,060","372,319","±4,105","30,680","±1,261","318,343","±3,052"
"        2 vehicles available","527,838","±5,877","66,118","±1,764","722,781","±6,806","331,491","±3,800","2,912,907","±18,328","614,299","±6,399","401,967","±3,959","116,232","±2,623","30,216","±1,283","2,214,902","±16,658","1,053,353","±8,904","106,962","±2,198","187,554","±2,877","1,395,615","±10,381","785,525","±6,703","394,111","±3,587","326,801","±3,282","496,396","±5,321","508,448","±6,931","188,353","±3,114","627,066","±5,702","747,934","±5,882","1,247,761","±8,812","726,504","±6,279","308,163","±4,336","709,917","±6,649","117,991","±2,053","221,880","±2,586","267,157","±3,678","174,142","±2,390","910,968","±6,847","211,563","±3,497","1,539,115","±9,482","1,116,846","±8,115","86,693","±1,714","1,351,789","±9,904","422,440","±3,765","440,456","±4,629","1,500,776","±9,997","115,670","±2,306","585,907","±6,248","96,153","±1,853","728,358","±7,179","2,786,032","±19,544","298,874","±3,431","86,915","±1,561","878,647","±8,051","766,956","±5,929","223,923","±3,453","735,600","±5,546","63,657","±1,521","271,508","±3,093"
"        3 vehicles available","276,071","±4,540","32,097","±1,287","306,598","±4,364","155,934","±2,843","1,569,488","±12,737","301,358","±3,894","183,461","±2,985","47,225","±2,021","6,563","±510","773,292","±8,054","507,777","±6,789","51,823","±1,437","105,109","±2,385","554,836","±5,049","360,369","±4,409","191,547","±2,716","165,714","±2,568","238,783","±3,829","192,804","±4,137","72,096","±1,689","292,634","±4,402","268,429","±3,370","493,718","±4,903","317,248","±3,558","158,536","±3,334","327,690","±4,878","71,324","±1,428","110,730","±1,912","124,987","±3,031","77,786","±1,934","375,354","±4,558","108,610","±2,673","570,875","±5,942","565,679","±6,159","45,303","±1,168","595,260","±5,564","201,489","±2,929","209,857","±3,436","612,215","±5,456","45,554","±1,694","269,641","±4,490","55,667","±1,372","378,555","±4,486","1,263,406","±10,008","167,845","±3,021","30,287","±882","461,683","±5,135","403,136","±5,170","95,969","±2,189","310,785","±3,569","41,400","±1,445","98,496","±2,245"
"        4 vehicles available","103,310","±2,262","11,708","±842","105,841","±2,379","53,294","±1,994","656,006","±5,324","110,575","±2,205","59,636","±1,942","14,921","±916","2,012","±469","223,977","±3,779","181,587","±3,518","23,597","±987","43,316","±1,452","180,916","±3,179","127,172","±2,652","69,212","±1,468","63,627","±1,628","80,511","±1,710","56,912","±2,143","23,024","±1,055","105,776","±2,275","89,086","±2,300","164,340","±2,311","104,378","±1,982","58,881","±1,711","112,947","±2,134","27,609","±1,138","41,670","±1,163","43,989","±1,441","26,140","±1,022","129,137","±2,606","41,178","±1,842","188,389","±2,982","203,438","±4,072","18,511","±850","203,309","±3,224","71,151","±1,764","74,155","±1,792","194,662","±2,863","13,914","±926","91,693","±2,907","22,643","±1,009","143,820","±3,047","435,722","±6,149","68,074","±1,782","8,594","±590","174,120","±3,436","152,880","±2,802","30,206","±1,217","97,699","±1,680","16,898","±1,028","29,061","±1,232"
"        5 or more vehicles available","47,038","±1,761","6,365","±632","45,800","±1,912","21,393","±1,195","327,577","±3,860","53,302","±1,780","23,674","±1,192","5,916","±631","498","±155","73,356","±2,159","76,209","±2,507","13,831","±874","24,146","±1,298","66,680","±1,841","58,275","±1,739","33,754","±1,159","29,898","±1,182","38,272","±1,332","19,840","±1,239","8,816","±741","46,119","±1,506","31,074","±1,374","70,522","±2,574","47,925","±1,185","23,218","±1,192","47,664","±1,404","16,212","±749","20,449","±907","18,817","±958","12,096","±764","46,823","±1,726","19,790","±1,056","70,061","±2,070","88,573","±2,955","11,060","±624","90,076","±2,460","31,520","±1,144","41,007","±1,594","80,044","±2,140","5,527","±672","35,667","±1,615","13,134","±644","61,479","±2,245","164,009","±3,603","36,666","±1,648","3,536","±307","80,352","±2,011","81,776","±1,939","12,704","±852","44,529","±1,443","10,053","±758","9,846","±725"
"    Renter occupied:","581,999","±5,958","89,797","±1,820","916,254","±6,465","400,067","±4,590","5,861,796","±20,328","722,078","±6,558","470,029","±4,548","106,038","±2,162","165,659","±2,394","2,680,435","±14,277","1,377,105","±9,408","185,895","±2,657","189,871","±3,029","1,646,283","±9,436","794,477","±6,016","366,974","±2,779","385,676","±3,257","567,032","±4,973","584,328","±5,798","154,612","±2,332","734,699","±5,861","992,088","±6,034","1,124,923","±6,434","619,377","±4,195","348,677","±4,195","802,838","±5,646","137,320","±2,273","259,372","±2,835","485,147","±4,270","155,277","±2,607","1,177,627","±8,379","253,673","±3,727","3,402,708","±11,310","1,381,743","±8,669","120,202","±1,967","1,589,054","±8,275","507,014","±3,718","611,573","±5,491","1,584,332","±9,484","159,280","±2,765","586,090","±6,113","111,383","±1,901","882,921","±7,497","3,737,262","±17,284","295,682","±3,258","75,478","±1,549","1,060,350","±8,475","1,067,763","±6,807","193,449","±3,058","781,435","±4,409","67,701","±1,698","388,350","±4,020"
"        No vehicle available","75,184","±2,244","13,894","±896","111,962","±3,001","53,481","±1,664","728,230","±6,315","81,472","±2,211","95,947","±2,546","15,451","±1,100","83,360","±2,077","326,890","±5,171","186,422","±3,493","26,288","±1,178","16,823","±1,145","404,296","±5,299","114,706","±2,977","53,666","±1,624","46,290","±1,624","84,417","±1,983","102,985","±2,873","28,542","±1,188","151,079","±2,866","265,672","±3,563","209,055","±3,610","115,267","±2,263","46,815","±2,042","119,689","±2,840","16,328","±1,118","31,887","±1,309","67,124","±1,977","19,582","±1,126","292,258","±4,741","29,354","±1,341","1,758,408","±9,081","161,342","±2,983","13,682","±881","271,795","±4,030","60,604","±1,935","94,731","±2,460","382,099","±5,293","30,838","±1,458","78,968","±2,417","13,969","±750","105,935","±2,877","390,428","±5,618","27,287","±1,411","13,318","±878","141,541","±2,915","161,785","±3,013","38,551","±1,761","121,176","±2,692","6,015","±587","94,532","±2,183"
