CountyName,PrecinctNum,PrecinctName,PrecinctCode,PollingPlaceName,PollingPlaceAddress,RegisteredVoters,latitude,longitude
Holmes,705,1 Acona,1A,ACONA FIRE DEPARTMENT,"11680 ROSEBANK-MT. OLIVE, LEXINGTON MS 39095",657,33.2529,-90.0441
Holmes,710,1 Durant St Anderson,1DUR,1 DUR - JOHN WESLEY UM CHURCH,"369 BAIN STREET, DURANT MS 39063",357,33.0716484,-89.863454
Holmes,699,Beat 1 Lexington,1LG,SAINTS ACADEMY- FAITH HALL,"169 HIGHWAY 17 SOUTH, LEXINGTON MS 39095",1544,33.0979,-90.0486
Holmes,697,Beat 2 Durant,2DG,DURANT CITY HALL,"253 WEST MULBERRY STREET, DURANT MS 39063",909,33.0752671,-89.8557019
Holmes,707,2 Lexington Sandhill,2LEX,2 SUB LEX-SANDHILL,,0,33.1826,-90.0325
Holmes,701,Beat 2 Sub Durant,2SD,NAT'L GUARD ARMORY,"16110 NORTH JACKSON STREET, DURANT MS 39063",817,33.0843528,-89.8506934
Holmes,708,Beat 2 West,2WL,WEST CITY HALL,"114 GREEN STREET, WEST MS 39192",577,33.1972689,-89.7807563
Holmes,694,Beat 3 Coxburg (A-Z),3C,COXBURG COMMUNITY CENTER,"4298 EBENEZER-COXBURG RD, LEXINGTON MS 39095",211,33.1826,-90.0325
Holmes,703,Beat 3 Ebenezer (A-Z),3E,EBENEZER FIRE DEPARTMENT,"115 HIGHWAY 14, LEXINGTON MS 39095",382,33.1487,-90.0342
Holmes,704,Beat 3 Goodman,3GK,GOODMAN NUTRITION BUILDING,"9982 MAIN STREET, GOODMAN MS 39079",849,32.9744861,-89.9370042
Holmes,706,Beat 3 Pickens,3PL,PICKENS POLICE DEPARTMENT,"163 NORTH SECOND STREET, PICKENS MS 39146",998,32.8872,-89.9673
Holmes,709,Beat 4 Lexington,4LG,SAINTS ACADEMY B. S. LYLES AUDITORIUM,"200 COURT SQUARE, LEXINGTON MS 39095",1891,33.1145,-90.0532
Holmes,702,Beat 4 Thornton (A-Z),4T,THORNTON FIRE DEPT,"591 TOLARSVILLE ROAD, TCHULA MS 39169",434,33.0487,-90.2315
Holmes,696,Beat 4 Walden Chapel (A-Z,4WC,WALDEN CHAPEL CHURCH,"308 FRANKLIN ROAD, GOODMAN MS 39079",258,32.9752956,-89.9170482
