"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Ventura County, California!!Estimate","Ventura County, California!!Margin of Error"
"Total:","2,095,195","±7,330","351,387","±2,410","3,179,988","±9,297","1,294,646","±6,164","18,239,892","±23,587","2,919,907","±7,381","1,777,570","±6,475","451,927","±3,855","379,090","±2,800","9,559,753","±19,793","4,852,255","±11,818","698,429","±3,489","807,123","±4,330","6,129,176","±12,308","3,158,697","±10,369","1,583,657","±4,717","1,436,563","±4,863","1,962,584","±7,640","2,002,968","±9,223","662,547","±3,384","3,047,112","±7,155","3,544,318","±8,065","4,560,759","±10,687","2,903,106","±6,194","1,230,952","±6,831","2,897,593","±7,891","512,202","±2,696","987,536","±3,719","1,402,593","±5,906","715,564","±3,428","4,332,443","±10,967","886,239","±4,758","9,219,025","±16,305","4,829,643","±12,457","401,160","±2,286","5,496,532","±12,742","1,766,223","±6,373","1,976,256","±7,202","6,085,959","±13,650","524,196","±3,788","2,304,196","±8,635","441,356","±2,296","3,103,430","±8,884","13,307,640","±22,902","1,517,044","±5,063","322,116","±2,360","4,224,874","±11,167","3,629,152","±9,021","730,395","±4,520","2,938,013","±7,098","284,673","±2,366","1,000,096","±6,650","404,157","±2,581"
"    Car, truck, or van:","1,953,038","±8,061","281,851","±2,474","2,709,243","±10,024","1,198,182","±5,647","14,963,132","±22,663","2,378,033","±7,681","1,494,737","±7,487","394,953","±3,841","140,488","±2,585","8,309,690","±22,128","4,222,823","±14,420","565,802","±4,013","703,421","±4,443","4,862,240","±14,010","2,850,534","±11,793","1,397,948","±5,903","1,287,983","±5,781","1,772,784","±7,993","1,821,477","±10,057","572,486","±3,903","2,459,180","±8,588","2,668,095","±9,785","4,072,218","±11,850","2,441,566","±7,889","1,154,849","±7,163","2,584,653","±9,742","432,453","±2,816","885,334","±4,111","1,225,781","±6,202","623,911","±4,106","3,352,806","±12,913","789,428","±5,332","5,415,544","±16,667","4,263,886","±13,608","359,802","±2,730","4,899,302","±14,180","1,613,158","±6,415","1,578,838","±7,592","5,029,173","±14,233","460,107","±3,895","2,084,681","±8,854","388,728","±2,770","2,814,531","±9,255","11,792,113","±26,046","1,286,574","±5,615","266,870","±2,319","3,541,421","±11,857","2,881,866","±10,080","662,221","±4,729","2,574,038","±7,699","248,870","±2,567","910,559","±6,403","355,245","±2,971"
"        Drove alone","1,778,257","±8,486","239,445","±2,537","2,369,970","±9,153","1,065,652","±5,320","13,146,038","±21,814","2,127,579","±8,067","1,355,510","±7,310","356,251","±3,879","121,780","±2,256","7,431,583","±19,678","3,771,815","±13,860","472,098","±4,052","628,094","±4,505","4,385,276","±12,592","2,566,614","±11,126","1,270,600","±5,585","1,159,928","±5,912","1,592,944","±8,004","1,640,341","±9,378","511,352","±4,209","2,196,630","±9,112","2,410,716","±9,396","3,679,255","±11,446","2,205,517","±7,573","1,041,248","±6,825","2,342,401","±8,392","385,206","±2,711","796,849","±3,857","1,077,493","±6,782","569,140","±4,189","3,013,993","±12,551","700,583","±5,404","4,822,623","±15,594","3,831,343","±13,799","324,230","±2,987","4,481,335","±12,942","1,441,754","±6,295","1,393,173","±7,392","4,530,697","±13,593","417,883","±3,908","1,879,042","±9,305","352,936","±2,486","2,542,954","±9,521","10,471,139","±21,899","1,128,793","±5,795","239,524","±2,510","3,163,869","±11,512","2,528,438","±9,451","599,101","±5,007","2,348,369","±8,045","220,359","±2,518","833,790","±6,343","313,985","±3,267"
"        Carpooled:","174,781","±3,458","42,406","±1,700","339,273","±6,328","132,530","±3,208","1,817,094","±13,779","250,454","±4,290","139,227","±3,586","38,702","±1,999","18,708","±1,186","878,107","±12,297","451,008","±7,381","93,704","±2,523","75,327","±2,549","476,964","±6,377","283,920","±5,635","127,348","±2,815","128,055","±3,127","179,840","±3,955","181,136","±3,636","61,134","±1,902","262,550","±4,179","257,379","±4,522","392,963","±6,174","236,049","±3,777","113,601","±2,972","242,252","±4,542","47,247","±1,834","88,485","±2,127","148,288","±3,509","54,771","±2,040","338,813","±5,321","88,845","±2,908","592,921","±7,429","432,543","±6,223","35,572","±1,858","417,967","±5,714","171,404","±3,361","185,665","±4,521","498,476","±5,564","42,224","±1,817","205,639","±4,494","35,792","±1,441","271,577","±5,595","1,320,974","±14,241","157,781","±3,250","27,346","±1,151","377,552","±5,490","353,428","±5,156","63,120","±2,235","225,669","±3,444","28,511","±1,429","76,769","±2,362","41,260","±2,073"
"            In 2-person carpool","136,252","±2,946","31,797","±1,577","254,526","±5,363","99,289","±2,431","1,325,863","±10,413","187,295","±3,553","110,799","±3,111","28,516","±1,705","13,593","±960","669,055","±9,381","333,761","±7,051","65,748","±2,116","56,378","±2,425","362,158","±5,136","218,888","±4,713","97,010","±2,599","95,202","±2,579","141,208","±3,548","135,896","±3,499","49,879","±1,711","200,093","±3,646","196,794","±4,153","303,802","±5,439","179,671","±3,538","86,429","±2,387","190,800","±3,682","34,309","±1,611","66,781","±1,769","111,815","±2,664","43,783","±1,857","244,688","±4,635","64,288","±2,315","446,908","±6,220","327,165","±5,385","25,919","±1,513","322,643","±5,074","132,387","±2,872","146,016","±3,610","387,406","±5,159","33,202","±1,663","157,026","±3,934","26,583","±1,218","210,283","±4,826","972,176","±12,361","117,854","±2,702","22,041","±997","277,822","±4,559","268,372","±4,570","50,750","±1,949","176,576","±3,282","20,128","±1,148","59,098","±2,189","30,296","±1,824"
"            In 3-person carpool","23,448","±1,646","5,907","±661","51,809","±2,916","20,382","±1,360","284,797","±5,458","38,652","±2,010","16,648","±1,121","5,883","±815","2,991","±445","126,022","±5,019","70,445","±2,760","16,701","±1,064","10,907","±1,103","69,616","±2,606","37,371","±1,855","18,155","±965","19,703","±1,233","23,508","±1,480","27,241","±1,630","6,905","±783","35,875","±1,983","35,126","±2,149","52,525","±2,061","31,849","±1,479","16,063","±1,331","30,708","±1,799","7,254","±823","12,657","±883","20,437","±1,488","6,295","±756","50,259","±2,152","14,629","±1,234","79,307","±2,728","62,639","±2,603","5,736","±758","54,845","±2,074","22,959","±1,224","23,053","±1,564","62,959","±2,274","5,200","±842","30,411","±2,165","5,322","±565","38,036","±2,168","209,337","±4,809","22,167","±1,373","3,395","±425","61,753","±2,524","46,384","±2,380","7,146","±791","30,450","±1,281","5,385","±786","11,867","±1,000","7,197","±973"
"            In 4-person carpool","8,479","±865","3,058","±623","17,723","±1,444","7,481","±827","111,224","±3,511","14,422","±1,192","6,438","±941","1,697","±382","1,227","±309","45,699","±2,459","26,450","±1,511","6,919","±854","4,479","±560","25,328","±1,409","13,294","±1,257","6,456","±591","7,161","±764","8,630","±810","10,951","±1,081","1,929","±381","13,668","±1,108","13,731","±1,426","20,784","±1,207","13,404","±1,042","5,610","±695","11,698","±946","3,306","±504","5,346","±683","8,413","±885","2,673","±507","20,879","±1,401","5,200","±628","33,056","±1,755","22,876","±1,405","2,293","±389","19,446","±1,256","9,346","±895","9,511","±1,108","25,128","±1,224","2,127","±539","10,218","±1,114","2,526","±444","13,603","±1,122","80,393","±3,326","9,817","±919","1,016","±285","20,332","±1,467","17,897","±1,379","3,580","±626","9,956","±727","1,719","±371","3,356","±463","2,081","±446"
"            In 5- or 6-person carpool","3,508","±692","1,034","±260","10,028","±1,076","3,011","±500","60,986","±2,352","6,636","±749","3,142","±485","1,766","±591","433","±148","23,560","±2,037","13,022","±1,044","3,578","±548","2,140","±413","12,406","±1,278","8,980","±961","3,997","±573","3,676","±574","4,269","±549","3,858","±641","876","±254","8,762","±933","7,054","±801","10,314","±1,002","7,331","±623","3,183","±631","5,409","±567","1,461","±311","2,743","±498","5,313","±876","1,253","±317","13,614","±1,040","3,003","±538","21,694","±1,709","12,265","±1,245","1,031","±208","12,837","±1,164","4,955","±533","4,688","±794","13,485","±873","857","±236","5,046","±806","982","±238","6,241","±722","40,317","±2,414","5,062","±727","417","±119","10,326","±1,072","13,525","±934","1,186","±283","5,744","±510","880","±252","1,350","±328","993","±228"
"            In 7-or-more-person carpool","3,094","±530","610","±181","5,187","±753","2,367","±424","34,224","±1,433","3,449","±607","2,200","±448","840","±306","464","±196","13,771","±1,121","7,330","±829","758","±213","1,423","±358","7,456","±934","5,387","±562","1,730","±324","2,313","±418","2,225","±344","3,190","±585","1,545","±305","4,152","±502","4,674","±540","5,538","±506","3,794","±517","2,316","±451","3,637","±467","917","±266","958","±197","2,310","±394","767","±191","9,373","±816","1,725","±381","11,956","±978","7,598","±651","593","±191","8,196","±694","1,757","±271","2,397","±454","9,498","±916","838","±238","2,938","±477","379","±154","3,414","±597","18,751","±1,131","2,881","±415","477","±142","7,319","±645","7,250","±678","458","±146","2,943","±460","399","±175","1,098","±269","693","±188"
"    Public transportation (excluding taxicab):","6,960","±934","4,247","±597","50,759","±2,114","3,950","±444","843,498","±6,674","82,173","±2,335","77,433","±1,907","9,946","±746","119,569","±2,727","154,580","±3,945","93,987","±2,973","38,177","±1,745","5,142","±474","539,825","±6,844","27,808","±1,552","14,278","±1,007","6,194","±619","18,292","±1,284","21,868","±1,336","3,591","±455","226,646","±3,618","337,729","±4,638","58,641","±2,172","93,692","±2,068","3,335","±566","33,546","±1,552","3,729","±481","6,256","±654","41,190","±1,735","5,646","±640","466,091","±6,004","8,796","±847","2,418,334","±13,549","46,628","±1,816","2,125","±385","79,191","±2,346","6,556","±662","79,221","±2,596","315,578","±4,330","11,747","±881","11,723","±1,104","2,046","±357","18,681","±1,303","166,825","±3,970","33,830","±1,498","3,877","±465","168,784","±3,805","218,379","±4,390","6,085","±729","44,890","±1,518","2,812","±454","15,077","±837","3,998","±540"
