"Label (Grouping)","Median household income in the past 12 months (in 2020 inflation-adjusted dollars)"
"Alabama",""
"    Estimate","52,035"
"Alaska",""
"    Estimate","77,790"
"Arizona",""
"    Estimate","61,529"
"Arkansas",""
"    Estimate","49,475"
"California",""
"    Estimate","78,672"
"Colorado",""
"    Estimate","75,231"
"Connecticut",""
"    Estimate","79,855"
"Delaware",""
"    Estimate","69,110"
"District of Columbia",""
"    Estimate","90,842"
"Florida",""
"    Estimate","57,703"
"Georgia",""
"    Estimate","61,224"
"Hawaii",""
"    Estimate","83,173"
"Idaho",""
"    Estimate","58,915"
"Illinois",""
"    Estimate","68,428"
"Indiana",""
"    Estimate","58,235"
"Iowa",""
"    Estimate","61,836"
"Kansas",""
"    Estimate","61,091"
"Kentucky",""
"    Estimate","52,238"
"Louisiana",""
"    Estimate","50,800"
"Maine",""
"    Estimate","59,489"
"Maryland",""
"    Estimate","87,063"
"Massachusetts",""
"    Estimate","84,385"
"Michigan",""
"    Estimate","59,234"
"Minnesota",""
"    Estimate","73,382"
"Mississippi",""
"    Estimate","46,511"
"Missouri",""
"    Estimate","57,290"
"Montana",""
"    Estimate","56,539"
"Nebraska",""
"    Estimate","63,015"
"Nevada",""
"    Estimate","62,043"
"New Hampshire",""
"    Estimate","77,923"
"New Jersey",""
"    Estimate","85,245"
"New Mexico",""
"    Estimate","51,243"
"New York",""
"    Estimate","71,117"
"North Carolina",""
"    Estimate","56,642"
"North Dakota",""
"    Estimate","65,315"
"Ohio",""
"    Estimate","58,116"
"Oklahoma",""
"    Estimate","53,840"
"Oregon",""
"    Estimate","65,667"
"Pennsylvania",""
"    Estimate","63,627"
"Rhode Island",""
"    Estimate","70,305"
"South Carolina",""
"    Estimate","54,864"
"South Dakota",""
"    Estimate","59,896"
"Tennessee",""
"    Estimate","54,833"
"Texas",""
"    Estimate","63,826"
"Utah",""
"    Estimate","74,197"
"Vermont",""
"    Estimate","63,477"
"Virginia",""
"    Estimate","76,398"
"Washington",""
"    Estimate","77,006"
"West Virginia",""
"    Estimate","48,037"
"Wisconsin",""
"    Estimate","63,293"
"Wyoming",""
"    Estimate","65,304"
"Puerto Rico",""
"    Estimate","21,058"
"Addison town, Addison County, Vermont",""
"    Estimate","88,333"
"Bridport town, Addison County, Vermont",""
"    Estimate","55,000"
"Bristol town, Addison County, Vermont",""
"    Estimate","61,265"
"Cornwall town, Addison County, Vermont",""
"    Estimate","90,750"
"Ferrisburgh town, Addison County, Vermont",""
"    Estimate","82,986"
"Goshen town, Addison County, Vermont",""
"    Estimate","78,750"
"Granville town, Addison County, Vermont",""
"    Estimate","49,375"
"Hancock town, Addison County, Vermont",""
"    Estimate","61,449"
"Leicester town, Addison County, Vermont",""
"    Estimate","51,354"
"Lincoln town, Addison County, Vermont",""
"    Estimate","63,750"
"Middlebury town, Addison County, Vermont",""
"    Estimate","63,301"
"Monkton town, Addison County, Vermont",""
"    Estimate","103,977"
"New Haven town, Addison County, Vermont",""
"    Estimate","78,958"
"Orwell town, Addison County, Vermont",""
"    Estimate","60,139"
"Panton town, Addison County, Vermont",""
"    Estimate","70,625"
"Ripton town, Addison County, Vermont",""
"    Estimate","82,604"
"Salisbury town, Addison County, Vermont",""
"    Estimate","80,833"
"Shoreham town, Addison County, Vermont",""
"    Estimate","64,792"
"Starksboro town, Addison County, Vermont",""
"    Estimate","67,500"
"Vergennes city, Addison County, Vermont",""
"    Estimate","63,859"
"Waltham town, Addison County, Vermont",""
"    Estimate","86,250"
"Weybridge town, Addison County, Vermont",""
"    Estimate","92,917"
"Whiting town, Addison County, Vermont",""
"    Estimate","54,688"
"Arlington town, Bennington County, Vermont",""
"    Estimate","65,139"
"Bennington town, Bennington County, Vermont",""
"    Estimate","48,929"
"Dorset town, Bennington County, Vermont",""
"    Estimate","54,500"
"Glastenbury town, Bennington County, Vermont",""
"    Estimate","-"
"Landgrove town, Bennington County, Vermont",""
"    Estimate","-"
"Manchester town, Bennington County, Vermont",""
"    Estimate","76,607"
"Peru town, Bennington County, Vermont",""
